question,state,year,applies to,response,citations,cautions
Does state law prohibit fugitives from having firearms?,WA,1994,All,0,,
Does state law prohibit fugitives from having firearms?,CA,1994,All,0,,
Does state law prohibit fugitives from having firearms?,NV,1994,All,0,,
Does state law prohibit fugitives from having firearms?,ID,1994,All,0,,
Does state law prohibit fugitives from having firearms?,UT,1994,All,0,,
Does state law prohibit fugitives from having firearms?,AZ,1994,All,0,,
Does state law prohibit fugitives from having firearms?,MT,1994,All,0,,
Does state law prohibit fugitives from having firearms?,WY,1994,All,0,,
Does state law prohibit fugitives from having firearms?,NM,1994,All,0,,
Does state law prohibit fugitives from having firearms?,CO,1994,All,0,,
